"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.62370770191688e-118,3.76990671149477,0.402,0.043,2.22675274240881e-114,"1","IGSF6"
1.62079421946202e-115,3.89803137485821,0.373,0.035,2.22275719257022e-111,"1","VCAN"
1.6731330448177e-115,3.01471643944068,0.526,0.103,2.29453465766299e-111,"1","RNF130"
2.48678775414105e-115,1.33351383719206,0.969,0.825,3.41038072602904e-111,"1","GAPDH"
7.10513774079517e-114,1.90420594371711,0.756,0.284,9.74398589772649e-110,"1","TALDO1"
4.10684706164246e-113,4.51912610158256,0.317,0.02,5.63213006033647e-109,"1","BST1"
4.25853727374969e-111,3.32638258816059,0.427,0.059,5.84015801722032e-107,"1","MNDA"
2.02814785815202e-110,3.39546189896321,0.424,0.058,2.78140197266968e-106,"1","APOBEC3A"
3.03777202859237e-110,4.43517599897596,0.344,0.031,4.16600056001157e-106,"1","PLBD1"
2.05541735625796e-102,2.71280410430635,0.503,0.104,2.81879936237217e-98,"1","CTSH"
7.09757240682547e-102,2.80520005673782,0.534,0.126,9.73361079872044e-98,"1","CTSB"
1.68602446403846e-99,3.45054724272192,0.387,0.055,2.31221394998235e-95,"1","CPVL"
3.01461383846796e-99,1.89730222386794,0.772,0.321,4.13424141807496e-95,"1","IFI6"
1.14061871754512e-98,1.48271687255035,0.917,0.578,1.56424450924137e-94,"1","NEAT1"
1.35182525458652e-96,3.28870026204728,0.395,0.06,1.85389315413995e-92,"1","ODF3B"
1.08200041339516e-95,1.99224350169043,0.704,0.275,1.48385536693012e-91,"1","AP2S1"
2.02412626937656e-92,3.3594361254578,0.362,0.05,2.77588676582302e-88,"1","TGFBI"
3.99706597285566e-90,4.30214950820933,0.269,0.02,5.48157627517426e-86,"1","TMEM176B"
5.61607234106e-90,3.41011627131841,0.356,0.049,7.70188160852968e-86,"1","SMCO4"
1.82657949266409e-89,2.81578539354067,0.385,0.06,2.50497111623954e-85,"1","LILRA5"
4.90333474985663e-87,0.915756681083122,0.973,0.833,6.72443327595338e-83,"1","SH3BGRL3"
3.84339602075389e-86,0.8578395388466,0.942,0.475,5.27083330286189e-82,"1","HLA-DRA"
8.02510823670432e-86,3.94570773517774,0.282,0.027,1.10056334358163e-81,"1","CD33"
4.02000310215371e-85,3.74634932674804,0.308,0.036,5.51303225429359e-81,"1","RAB32"
1.85416918314247e-81,1.19988266174705,0.928,0.708,2.54280761776159e-77,"1","ARPC1B"
1.824486856427e-80,1.59975172065576,0.739,0.31,2.50210127490399e-76,"1","C1orf162"
5.5851449868664e-80,0.582327932921301,1,0.992,7.65946783498858e-76,"1","TMSB10"
6.75249317610271e-80,1.60506704048594,0.762,0.365,9.26036914170726e-76,"1","ANXA2"
7.99217097339508e-79,4.34847770912016,0.277,0.031,1.0960463272914e-74,"1","IL8"
2.81748486692989e-78,2.8722972535019,0.393,0.075,3.86389874650765e-74,"1","STX11"
5.45648534571141e-78,2.11162016745912,0.54,0.164,7.48302400310863e-74,"1","CAPG"
1.07323857878192e-76,1.95306152905115,0.6,0.205,1.47183938694152e-72,"1","RGS2"
1.09934252238087e-76,1.65691239795307,0.667,0.247,1.50763833519312e-72,"1","CEBPB"
2.63465058545621e-76,2.9546898074915,0.362,0.066,3.61315981289464e-72,"1","PLAUR"
